nodes;channels;topology;policy;TSR;ASD_s;LLR;DP
8;8;ring;simple;0.4807;0.3379;0.6298;0.0086
8;8;star;simple;0.4703;0.3395;0.6324;0.0069
8;14;full;simple;0.801;0.2899;0.6698;0.0028
8;14;line;simple;0.6323;0.3151;0.7119;0.0126
8;14;ring;simple;0.7757;0.2936;0.6761;0.0058
8;14;star;simple;0.7588;0.2962;0.6803;0.0047
8;20;full;simple;0.9025;0.2746;0.7644;0.0024
8;20;line;simple;0.7125;0.3031;0.8119;0.011
8;20;ring;simple;0.874;0.2789;0.7715;0.005
8;20;star;simple;0.855;0.2818;0.7763;0.004
10;2;full;simple;0.1686;0.3847;0.5879;0.0061
10;2;line;simple;0.1331;0.39;0.5967;0.0249
10;2;ring;simple;0.1632;0.3855;0.5892;0.0123
10;2;star;simple;0.1597;0.386;0.5901;0.0099
10;8;full;simple;0.4081;0.3488;0.648;0.0047
10;8;line;simple;0.3222;0.3617;0.6695;0.0197
10;8;ring;simple;0.3952;0.3507;0.6512;0.0095
10;8;star;simple;0.3866;0.352;0.6533;0.0077
10;14;full;simple;0.6477;0.3129;0.7081;0.0035
10;14;line;simple;0.5113;0.3333;0.7422;0.0151
10;14;ring;simple;0.6272;0.3159;0.7132;0.0071
10;14;star;simple;0.6136;0.318;0.7166;0.0057
10;20;full;simple;0.8872;0.2769;0.7682;0.0025
10;20;line;simple;0.7004;0.3049;0.8149;0.011
10;20;ring;simple;0.8592;0.2811;0.7752;0.005
10;20;star;simple;0.8405;0.2839;0.7799;0.0041
4;2;full;trusted;0.39;0.2515;0.5325;0.0052
4;2;line;trusted;0.325;0.2612;0.5488;0.0213
4;2;ring;trusted;0.4589;0.2412;0.5153;0.0099
4;2;star;trusted;0.39;0.2515;0.5325;0.0082
4;8;full;trusted;0.98;0.163;0.505;0.0023
4;8;line;trusted;0.98;0.163;0.505;0.0092
4;8;ring;trusted;0.98;0.163;0.505;0.0046
4;8;star;trusted;0.98;0.163;0.505;0.0037
4;14;full;trusted;0.98;0.163;0.625;0.0023
4;14;line;trusted;0.98;0.163;0.625;0.0092
4;14;ring;trusted;0.98;0.163;0.625;0.0046
4;14;star;trusted;0.98;0.163;0.625;0.0037
4;20;full;trusted;0.98;0.163;0.745;0.0023
4;20;line;trusted;0.98;0.163;0.745;0.0092
4;20;ring;trusted;0.98;0.163;0.745;0.0046
4;20;star;trusted;0.98;0.163;0.745;0.0037
6;2;full;trusted;0.2912;0.2663;0.5572;0.0056
6;2;line;trusted;0.2427;0.2736;0.5693;0.023
6;2;ring;trusted;0.3427;0.2586;0.5443;0.011
